"filename", "language", "JSON with Comments", "JSON", "TypeScript", "CSS", "HTML", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\angular.json", "JSON", 0, 106, 0, 0, 0, 0, 0, 0, 1, 107
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\package-lock.json", "JSON", 0, 12337, 0, 0, 0, 0, 0, 0, 1, 12338
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\package.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\proxy.conf.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\app.component.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\app.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\app.component.spec.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\app.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\app.module.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 3, 53
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\app.routing.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\carrito\carrito.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\carrito\carrito.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\carrito\carrito.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\carrito\carrito.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\catalogo\catalogo.component.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\catalogo\catalogo.component.html", "HTML", 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\catalogo\catalogo.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\comics\comics.component.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\comics\comics.component.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\comics\comics.component.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 1, 6, 38
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\dashboard\dashboard.component.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 8, 23
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\educacion\educacion.component.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\educacion\educacion.component.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\educacion\educacion.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\factura\factura.component.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\factura\factura.component.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\factura\factura.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\header2\header2.component.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\header2\header2.component.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\header2\header2.component.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 11, 25
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\header\header.component.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\header\header.component.html", "HTML", 0, 0, 0, 0, 44, 0, 0, 0, 1, 45
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\header\header.component.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 10, 32
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\history\history.component.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\history\history.component.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\history\history.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\juvenil\juvenil.component.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\juvenil\juvenil.component.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\juvenil\juvenil.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\landing-page\landing-page.component.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\landing-page\landing-page.component.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\landing-page\landing-page.component.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 8, 28
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\login\login.component.css", "CSS", 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\login\login.component.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\pago\pago.component.css", "CSS", 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\pago\pago.component.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\pago\pago.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\programacion\programacion.component.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\programacion\programacion.component.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 1, 1, 24
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\programacion\programacion.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\registro\registro.component.css", "CSS", 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\registro\registro.component.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\components\registro\registro.component.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\guards\auth.guard.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\services\auth\auth.service.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\services\catalogo\comics.service.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\services\catalogo\programacion.service.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\services\compra\auth.service.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\services\db\db.service.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\services\interfaces\user.interface.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\app\util\util-encrypt.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\environments\environment.prod.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\environments\environment.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\main.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\server.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\src\styles.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\front\tsconfig.spec.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 32, 12523, 639, 365, 402, 10, 14, 5, 257, 14247